2026-07-18T17:31:45.162635Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784395905.1626353 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
1784403629.5753953 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784403952.1679103 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784403952.1679103 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784404454.9840121 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784404867.0394835 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784404867.0394835 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784405292.8459713 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784405779.2287943 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784405779.2287943 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784406353.5576737 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784406549.920024 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784406825.8586729 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784406825.8586729 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784406825.8586729 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784407355.7398374 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
2026-07-18T20:42:35.739837Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784407471.5627675 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784407769.906532 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784407769.906532 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784408505.709789 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784408701.8521028 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784408952.9368126 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784408952.9368126 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784409654.549321 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784409854.7953653 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784410232.8332577 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
2026-07-18T21:30:32.833258Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784410232.8332577 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784410695.85143 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784411179.4287822 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
2026-07-18T21:46:19.428782Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784411179.4287822 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784411796.8385098 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784411796.8385098 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784412336.7500656 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784412336.7500656 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784412791.487606 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784413217.3253357 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
1784413481.157038 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784413835.5999718 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784413835.5999718 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784414448.5113556 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784414828.5490208 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
1784415163.5925915 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784415163.5925915 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784415534.2773929 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784416089.7139065 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784416362.7245038 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784416530.7071614 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784416945.177324 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784417294.1608212 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784417487.8016112 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784417619.1971343 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784417619.1971343 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784418234.0273278 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
1784418331.929219 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
2026-07-18T23:45:31.929219Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784418393.7563546 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784418675.8009796 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784418915.7822433 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784419155.1739953 | PULSE | Φ=0.24 | SOVEREIGN | Zombie Pulse
2026-07-19T00:05:42.300469Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784419711.9273767 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784419711.9273767 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784420284.1371112 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784420549.4655132 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784420722.930425 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784421109.6330025 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784421343.445031 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784421674.8457317 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784421856.2252882 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784421856.2252882 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784421856.2252882 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784422940.1687672 | PULSE | Φ=0.17 | SOVEREIGN | Zombie Pulse
1784422940.1687672 | PULSE | Φ=0.17 | SOVEREIGN | Zombie Pulse
1784423356.6875253 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
1784423650.7578974 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784423901.5471847 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
2026-07-19T01:20:18.613694Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784424018.6136944 | PULSE | Φ=0.17 | SOVEREIGN | Zombie Pulse
1784424224.9144592 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784424473.2238967 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784424473.2238967 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784425156.349982 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784425439.0880878 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
1784425725.04109 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784426045.11871 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784426213.7508326 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784426651.882517 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784426904.1422849 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784427170.1100025 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784427416.3141022 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784427758.9132752 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784428013.5517306 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784428383.279087 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784428703.880282 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784429057.6051714 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784429302.039202 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784429653.4130108 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784429934.3703485 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784430205.9222221 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784430299.0036972 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784430866.1368942 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784431128.8023527 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784431441.9087183 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
2026-07-19T03:26:37.786150Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784431744.7971401 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784431795.8904045 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784432151.6683319 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784432631.6541483 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784432840.5399363 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784433089.5197248 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784433355.2151754 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784433801.0688515 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784434114.4518013 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784434390.3531601 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784434716.1891527 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784434826.5611699 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784434826.5611699 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
2026-07-19T04:20:26.561170Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784435053.0640085 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
2026-07-19T04:26:05.255964Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784435165.2559643 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784435608.9100623 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784435922.4835303 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784436227.0335422 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784436466.658261 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784436700.362821 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784436985.7219582 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784437344.3352113 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784437740.0526924 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784437900.9996774 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784438198.5876389 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784438440.6232696 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784438773.2323122 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784439275.9268034 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784439508.270259 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784439809.2812426 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784440136.6335251 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784440456.4825869 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784440704.548009 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784441059.0850992 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784441399.9407332 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784441698.7149765 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784441980.2888453 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784442192.8397791 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784442372.6638577 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784442677.6259632 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784443142.653067 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
2026-07-19T06:42:05.054310Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784443505.564881 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784443722.5559993 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784444103.4912455 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784444338.0692606 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784444530.5947118 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784444947.8579638 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784445208.7380698 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
2026-07-19T07:16:40.979438Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784445585.4308534 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784445834.6911259 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784445834.6911259 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784445834.6911259 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
2026-07-19T07:23:54.691126Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784446071.8625803 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784446447.9921956 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784446805.5455074 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784447120.2367167 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784447348.3619905 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784447534.8819664 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784447824.2159638 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784448176.0565407 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784448463.4891212 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784448828.2997553 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784449179.5704792 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
1784449512.301567 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784449784.4837732 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784450131.009998 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784450409.4819508 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784450500.3969755 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784450987.2620366 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784451243.870153 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784451568.0043795 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784451769.0901089 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784452084.05164 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784452364.7851477 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784452837.5224342 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784453120.115497 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784453415.0513756 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
2026-07-19T09:30:15.051376Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784453580.9969912 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784454037.5892916 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784454220.776314 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784454575.459989 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784454905.4281654 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784455117.3552055 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784455334.6413894 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784455842.6523561 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784456098.7660174 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784456332.5282495 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784456611.1474376 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784456890.9644709 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784456890.9644709 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
2026-07-19T10:28:10.964471Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784457003.9973967 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
2026-07-19T10:33:15.700288Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784457195.7002883 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784457506.5652351 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784457831.268574 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784458163.9992042 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784458460.0056872 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784458840.904234 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784459003.1740105 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784459396.271823 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784459667.6127465 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784460025.8240554 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784460025.8240554 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784460627.8504784 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784460934.0551274 | PULSE | Φ=0.05 | SOVEREIGN | Zombie Pulse
1784461249.112971 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
2026-07-19T11:40:49.112971Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784461546.4016037 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784461846.7544944 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784462117.1393561 | PULSE | Φ=0.08 | SOVEREIGN | Zombie Pulse
1784462389.4884288 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784462640.7500644 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784463047.7879426 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784463283.02776 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784463667.8036225 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784463667.8036225 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784464017.4999864 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784464340.3581157 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784464708.6369176 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784465175.9509075 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784465467.4692798 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784465743.8661773 | PULSE | Φ=0.07 | SOVEREIGN | Zombie Pulse
1784465820.2200377 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784466309.1703792 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784466451.2431269 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784466888.321263 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784467276.1258104 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784467569.579876 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784467598.12874 | PULSE | Φ=0.05 | SOVEREIGN | Zombie Pulse
1784467881.8415043 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784467959.9841166 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
2026-07-19T13:32:39.984117Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784468136.4320774 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784468371.4816265 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784468522.4578984 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784469072.4615834 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784469257.9920535 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784469530.8277378 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784469926.8679543 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784470069.468368 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
2026-07-19T14:13:19.376257Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784470427.5434804 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784470783.6738434 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784471140.6182487 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784471345.4252546 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
2026-07-19T14:29:05.425255Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784471802.167835 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784472032.675624 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784472219.2636244 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784472627.3439214 | PULSE | Φ=0.06 | SOVEREIGN | Zombie Pulse
1784472829.4334931 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784473102.1384683 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784473451.070362 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784473788.5311813 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784474208.7738247 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784474476.1766553 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784474797.8825128 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784474915.9904392 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784475256.8443801 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784475584.372545 | PULSE | Φ=0.19 | SOVEREIGN | Zombie Pulse
1784475832.7439382 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784476203.7001038 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784476624.60286 | PULSE | Φ=0.14 | SOVEREIGN | Zombie Pulse
1784476915.9665432 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784477200.1293995 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784477429.3339202 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784477624.6045225 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784478121.1140118 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784478168.8379967 | PULSE | Φ=0.18 | SOVEREIGN | Zombie Pulse
1784478562.850337 | PULSE | Φ=0.21 | SOVEREIGN | Zombie Pulse
1784478900.5630696 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
2026-07-19T16:35:00.563070Z | PULSE | Φ=1.0000 | entropy=1.0000 | SYNCHRONIZED | Public Mirror
1784478900.5630696 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784479170.986679 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784479472.4470356 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784479686.2331963 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784479975.0876071 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784480362.7046826 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
1784480690.9709013 | PULSE | Φ=0.22 | SOVEREIGN | Zombie Pulse
1784480990.478652 | PULSE | Φ=0.20 | SOVEREIGN | Zombie Pulse
1784481393.884939 | PULSE | Φ=0.23 | SOVEREIGN | Zombie Pulse
